id,date_submitted,category,priority,status,description,citizen_satisfaction,response_time_hours,ward_number,is_anonymous
35,2023-02-06,Environmental Issues,Low,Resolved,Sample feedback report #35 regarding city services,5,3.9,16,False
36,2023-01-11,Environmental Issues,Medium,Under Review,Sample feedback report #36 regarding city services,3,39.7,16,True
37,2023-07-18,Waste Management,Medium,Resolved,Sample feedback report #37 regarding city services,5,98.5,7,True
38,2023-11-28,Water Infrastructure,Medium,Submitted,Sample feedback report #38 regarding city services,4,18.1,11,True
39,2023-03-30,Public Transport,High,Under Review,Sample feedback report #39 regarding city services,4,2.8,16,True
40,2023-04-22,Environmental Issues,Low,Resolved,Sample feedback report #40 regarding city services,3,5.3,9,True
41,2023-01-15,Community Services,Low,Under Review,Sample feedback report #41 regarding city services,5,1.0,19,False
42,2023-08-04,Road Maintenance,Critical,Resolved,Sample feedback report #42 regarding city services,4,10.2,14,False
43,2023-08-30,Public Safety,Medium,Resolved,Sample feedback report #43 regarding city services,1,39.1,19,False
44,2023-06-19,Parks & Recreation,Medium,Resolved,Sample feedback report #44 regarding city services,3,75.2,17,True
45,2023-07-17,Public Transport,High,Resolved,Sample feedback report #45 regarding city services,4,5.2,9,False
46,2023-03-23,Parks & Recreation,Low,Submitted,Sample feedback report #46 regarding city services,5,119.1,16,False
47,2023-06-06,Energy & Utilities,Medium,In Progress,Sample feedback report #47 regarding city services,1,26.7,10,False
48,2023-07-07,Community Services,Medium,Submitted,Sample feedback report #48 regarding city services,2,87.0,15,False
49,2023-12-07,Water Infrastructure,Medium,Submitted,Sample feedback report #49 regarding city services,4,26.8,5,False
50,2023-08-17,Environmental Issues,High,In Progress,Sample feedback report #50 regarding city services,5,49.0,16,True
51,2023-12-20,Public Safety,Medium,In Progress,Sample feedback report #51 regarding city services,1,34.9,4,False
52,2023-05-24,Public Transport,Low,Submitted,Sample feedback report #52 regarding city services,1,17.8,8,False
53,2023-01-07,Road Maintenance,High,Resolved,Sample feedback report #53 regarding city services,1,44.4,6,True
54,2023-04-24,Waste Management,Low,In Progress,Sample feedback report #54 regarding city services,1,4.0,8,False
55,2023-04-26,Energy & Utilities,High,Closed,Sample feedback report #55 regarding city services,3,11.3,9,False
56,2023-04-26,Public Safety,Low,Resolved,Sample feedback report #56 regarding city services,3,30.4,7,True
57,2023-07-10,Water Infrastructure,Medium,Resolved,Sample feedback report #57 regarding city services,1,6.6,5,False
58,2023-10-30,Public Transport,Low,In Progress,Sample feedback report #58 regarding city services,2,10.5,5,False
59,2023-03-11,Road Maintenance,Medium,In Progress,Sample feedback report #59 regarding city services,1,82.9,9,False
60,2023-09-23,Community Services,Medium,Under Review,Sample feedback report #60 regarding city services,1,14.7,10,False
61,2023-12-27,Road Maintenance,Low,Closed,Sample feedback report #61 regarding city services,1,35.4,6,False
62,2023-07-07,Waste Management,Medium,In Progress,Sample feedback report #62 regarding city services,1,3.6,18,True
63,2023-05-19,Public Transport,Medium,Resolved,Sample feedback report #63 regarding city services,1,1.1,14,True
64,2023-12-15,Parks & Recreation,Low,Resolved,Sample feedback report #64 regarding city services,5,64.3,11,False
65,2023-01-08,Waste Management,High,Closed,Sample feedback report #65 regarding city services,5,5.0,8,True
66,2023-12-06,Environmental Issues,Low,In Progress,Sample feedback report #66 regarding city services,3,13.2,16,True
67,2023-06-07,Public Transport,Medium,Resolved,Sample feedback report #67 regarding city services,2,44.2,2,False
68,2023-11-04,Community Services,Low,Resolved,Sample feedback report #68 regarding city services,5,52.8,13,False
69,2023-11-13,Traffic Management,Medium,In Progress,Sample feedback report #69 regarding city services,1,1.1,17,False
70,2023-10-21,Public Transport,Medium,In Progress,Sample feedback report #70 regarding city services,4,4.9,7,False
71,2023-04-17,Water Infrastructure,Medium,Resolved,Sample feedback report #71 regarding city services,2,11.3,10,False
72,2023-01-07,Community Services,Medium,Under Review,Sample feedback report #72 regarding city services,5,5.9,15,True
73,2023-10-23,Energy & Utilities,Low,Submitted,Sample feedback report #73 regarding city services,4,15.9,12,False
74,2023-11-17,Public Safety,Low,Resolved,Sample feedback report #74 regarding city services,2,18.6,1,False
75,2023-09-19,Public Safety,Low,Under Review,Sample feedback report #75 regarding city services,4,5.6,1,True
76,2023-11-10,Traffic Management,High,In Progress,Sample feedback report #76 regarding city services,2,1.0,10,False
77,2023-12-10,Community Services,High,In Progress,Sample feedback report #77 regarding city services,3,1.2,4,False
78,2023-06-28,Public Safety,Low,Resolved,Sample feedback report #78 regarding city services,5,8.6,4,False
79,2023-11-02,Road Maintenance,Critical,Submitted,Sample feedback report #79 regarding city services,1,20.5,5,False
80,2023-03-03,Waste Management,Medium,In Progress,Sample feedback report #80 regarding city services,3,81.5,11,True
81,2023-09-24,Road Maintenance,Low,Resolved,Sample feedback report #81 regarding city services,5,64.7,11,True
82,2023-09-04,Energy & Utilities,Medium,Submitted,Sample feedback report #82 regarding city services,2,11.2,5,True
83,2023-06-29,Environmental Issues,Medium,Closed,Sample feedback report #83 regarding city services,2,83.6,9,False
84,2023-10-22,Public Transport,Low,Submitted,Sample feedback report #84 regarding city services,2,2.6,18,False
85,2023-08-25,Energy & Utilities,High,In Progress,Sample feedback report #85 regarding city services,3,13.6,19,True
86,2023-10-23,Road Maintenance,Low,In Progress,Sample feedback report #86 regarding city services,1,49.5,15,True
87,2023-05-08,Community Services,Medium,Submitted,Sample feedback report #87 regarding city services,1,51.7,20,False
88,2023-03-24,Public Transport,Medium,Resolved,Sample feedback report #88 regarding city services,5,15.9,20,False
89,2023-05-22,Environmental Issues,Medium,Resolved,Sample feedback report #89 regarding city services,1,32.2,2,True
90,2023-11-11,Waste Management,High,Resolved,Sample feedback report #90 regarding city services,3,23.6,9,False
91,2023-02-04,Traffic Management,High,Resolved,Sample feedback report #91 regarding city services,2,17.8,11,False
92,2023-02-28,Environmental Issues,Low,Resolved,Sample feedback report #92 regarding city services,3,18.7,11,False
93,2023-09-29,Public Transport,High,In Progress,Sample feedback report #93 regarding city services,5,39.8,1,False
94,2023-05-26,Road Maintenance,Medium,In Progress,Sample feedback report #94 regarding city services,5,3.4,16,False
95,2023-04-28,Public Safety,Low,Closed,Sample feedback report #95 regarding city services,5,14.1,8,False
96,2023-06-05,Waste Management,Low,Submitted,Sample feedback report #96 regarding city services,5,7.8,4,True
97,2023-06-03,Road Maintenance,Medium,Resolved,Sample feedback report #97 regarding city services,1,39.1,17,False
98,2023-11-05,Public Transport,Low,Under Review,Sample feedback report #98 regarding city services,4,13.7,11,False
99,2023-07-14,Traffic Management,Low,In Progress,Sample feedback report #99 regarding city services,1,25.0,7,False
100,2023-08-13,Parks & Recreation,High,In Progress,Sample feedback report #100 regarding city services,3,21.6,15,True
101,2023-05-01,Public Safety,Medium,Under Review,Sample feedback report #101 regarding city services,3,47.5,17,True
102,2023-08-19,Environmental Issues,High,In Progress,Sample feedback report #102 regarding city services,5,3.2,10,False
103,2023-08-24,Traffic Management,Medium,In Progress,Sample feedback report #103 regarding city services,4,1.0,17,False
104,2023-09-06,Public Transport,High,Resolved,Sample feedback report #104 regarding city services,4,12.8,10,False
105,2023-04-30,Water Infrastructure,High,In Progress,Sample feedback report #105 regarding city services,4,1.8,15,False
106,2023-12-01,Community Services,Medium,Submitted,Sample feedback report #106 regarding city services,3,5.5,9,False
107,2023-12-18,Public Safety,Low,In Progress,Sample feedback report #107 regarding city services,2,4.2,6,False
108,2023-03-01,Parks & Recreation,Low,In Progress,Sample feedback report #108 regarding city services,2,8.3,1,False
109,2023-06-07,Energy & Utilities,Low,In Progress,Sample feedback report #109 regarding city services,2,22.3,2,False
110,2023-04-07,Energy & Utilities,Medium,In Progress,Sample feedback report #110 regarding city services,1,17.3,15,False
111,2023-01-08,Public Transport,Medium,In Progress,Sample feedback report #111 regarding city services,2,14.7,16,False
112,2023-06-06,Environmental Issues,High,Under Review,Sample feedback report #112 regarding city services,5,25.3,18,False
113,2023-10-04,Energy & Utilities,Low,Resolved,Sample feedback report #113 regarding city services,3,6.0,1,False
114,2023-05-24,Parks & Recreation,High,Closed,Sample feedback report #114 regarding city services,5,14.0,7,False
115,2023-06-13,Environmental Issues,Medium,Resolved,Sample feedback report #115 regarding city services,5,49.4,15,False
116,2023-03-24,Parks & Recreation,Medium,Under Review,Sample feedback report #116 regarding city services,4,18.5,15,False
117,2023-06-18,Energy & Utilities,High,Under Review,Sample feedback report #117 regarding city services,5,26.7,20,False
118,2023-04-21,Water Infrastructure,Low,In Progress,Sample feedback report #118 regarding city services,2,52.5,13,False
119,2023-01-13,Parks & Recreation,Low,In Progress,Sample feedback report #119 regarding city services,5,18.3,11,False
120,2023-03-17,Environmental Issues,High,Resolved,Sample feedback report #120 regarding city services,1,21.0,3,False
121,2023-10-26,Water Infrastructure,Low,Resolved,Sample feedback report #121 regarding city services,3,20.0,10,True
122,2023-02-23,Traffic Management,Low,Under Review,Sample feedback report #122 regarding city services,5,5.3,4,True
123,2023-03-28,Public Safety,Low,Resolved,Sample feedback report #123 regarding city services,1,5.5,1,False
124,2023-07-17,Waste Management,Low,Resolved,Sample feedback report #124 regarding city services,1,29.4,1,False
125,2023-08-27,Road Maintenance,High,Submitted,Sample feedback report #125 regarding city services,2,2.6,20,False
126,2023-08-27,Community Services,Medium,Under Review,Sample feedback report #126 regarding city services,3,59.6,5,False
127,2023-12-21,Waste Management,Medium,Closed,Sample feedback report #127 regarding city services,1,15.3,1,False
128,2023-10-02,Traffic Management,Low,Resolved,Sample feedback report #128 regarding city services,2,24.6,3,False
129,2023-12-25,Traffic Management,Medium,Under Review,Sample feedback report #129 regarding city services,4,35.9,19,False
130,2023-12-22,Road Maintenance,Medium,In Progress,Sample feedback report #130 regarding city services,3,48.2,2,False
131,2023-01-01,Parks & Recreation,Low,Submitted,Sample feedback report #131 regarding city services,5,5.1,13,False
132,2023-03-14,Water Infrastructure,Low,Under Review,Sample feedback report #132 regarding city services,4,6.1,12,True
133,2023-05-18,Public Transport,Low,In Progress,Sample feedback report #133 regarding city services,1,12.0,8,False
134,2023-12-16,Waste Management,Low,Resolved,Sample feedback report #134 regarding city services,4,3.5,18,False
135,2023-01-18,Road Maintenance,Low,Submitted,Sample feedback report #135 regarding city services,2,12.3,15,False
136,2023-05-13,Public Transport,Low,Under Review,Sample feedback report #136 regarding city services,5,5.0,13,True
137,2023-10-12,Traffic Management,Low,Under Review,Sample feedback report #137 regarding city services,1,3.8,6,True
138,2023-07-28,Public Safety,Medium,In Progress,Sample feedback report #138 regarding city services,5,42.1,5,False
139,2023-09-22,Energy & Utilities,Medium,Submitted,Sample feedback report #139 regarding city services,4,14.0,17,False
140,2023-12-28,Public Safety,Low,Resolved,Sample feedback report #140 regarding city services,1,100.6,14,False
141,2023-08-31,Community Services,Medium,Resolved,Sample feedback report #141 regarding city services,3,7.5,11,False
142,2023-07-08,Water Infrastructure,High,Submitted,Sample feedback report #142 regarding city services,1,29.7,6,True
143,2023-10-09,Energy & Utilities,Medium,Resolved,Sample feedback report #143 regarding city services,1,11.2,19,False
144,2023-05-22,Water Infrastructure,Medium,Under Review,Sample feedback report #144 regarding city services,5,9.7,8,False
145,2023-12-02,Traffic Management,Low,Under Review,Sample feedback report #145 regarding city services,3,1.2,4,False
146,2023-10-08,Parks & Recreation,Low,Closed,Sample feedback report #146 regarding city services,4,33.2,7,False
147,2023-07-05,Energy & Utilities,Medium,Submitted,Sample feedback report #147 regarding city services,1,4.6,19,False
148,2023-08-21,Water Infrastructure,Medium,Under Review,Sample feedback report #148 regarding city services,5,35.2,1,False
149,2023-10-04,Parks & Recreation,High,Resolved,Sample feedback report #149 regarding city services,3,40.9,13,True
150,2023-04-28,Road Maintenance,Medium,Resolved,Sample feedback report #150 regarding city services,3,5.1,4,False
151,2023-03-14,Public Transport,High,In Progress,Sample feedback report #151 regarding city services,1,3.1,11,False
152,2023-08-29,Community Services,Medium,Resolved,Sample feedback report #152 regarding city services,2,2.5,4,True
153,2023-10-03,Environmental Issues,Critical,Closed,Sample feedback report #153 regarding city services,4,1.2,14,False
154,2023-01-29,Public Safety,Medium,Resolved,Sample feedback report #154 regarding city services,5,11.8,8,True
155,2023-05-02,Public Safety,Low,Resolved,Sample feedback report #155 regarding city services,5,53.5,19,False
156,2023-10-16,Public Transport,Low,Resolved,Sample feedback report #156 regarding city services,2,73.3,11,True
157,2023-01-16,Public Safety,Medium,In Progress,Sample feedback report #157 regarding city services,1,22.6,14,False
158,2023-08-07,Traffic Management,High,Resolved,Sample feedback report #158 regarding city services,5,42.8,20,False
159,2023-12-02,Environmental Issues,Low,In Progress,Sample feedback report #159 regarding city services,3,6.4,19,False
160,2023-01-20,Public Safety,Critical,Closed,Sample feedback report #160 regarding city services,2,11.3,6,False
161,2023-02-19,Waste Management,Low,Closed,Sample feedback report #161 regarding city services,2,22.9,11,False
162,2023-10-16,Community Services,Low,Resolved,Sample feedback report #162 regarding city services,5,53.1,9,False
163,2023-10-04,Parks & Recreation,Low,Resolved,Sample feedback report #163 regarding city services,2,9.5,20,False
164,2023-06-29,Energy & Utilities,Medium,Under Review,Sample feedback report #164 regarding city services,1,9.2,4,True
165,2023-08-28,Traffic Management,Medium,In Progress,Sample feedback report #165 regarding city services,5,18.8,3,True
166,2023-12-29,Community Services,Low,Resolved,Sample feedback report #166 regarding city services,3,1.0,14,False
167,2023-10-08,Public Transport,Medium,Under Review,Sample feedback report #167 regarding city services,4,53.5,18,False
168,2023-08-08,Public Transport,Medium,In Progress,Sample feedback report #168 regarding city services,2,16.1,2,False
169,2023-02-02,Public Transport,Medium,Resolved,Sample feedback report #169 regarding city services,1,1.0,15,False
170,2023-07-02,Road Maintenance,Low,Submitted,Sample feedback report #170 regarding city services,4,1.0,14,False
171,2023-04-13,Public Transport,Medium,In Progress,Sample feedback report #171 regarding city services,2,14.4,10,False
172,2023-05-21,Community Services,High,Under Review,Sample feedback report #172 regarding city services,1,5.8,10,False
173,2023-12-01,Public Transport,Low,In Progress,Sample feedback report #173 regarding city services,1,44.5,14,True
174,2023-11-22,Energy & Utilities,Low,Under Review,Sample feedback report #174 regarding city services,5,15.4,8,False
175,2023-12-01,Energy & Utilities,Low,Resolved,Sample feedback report #175 regarding city services,2,13.2,18,False
176,2023-03-16,Environmental Issues,Medium,Closed,Sample feedback report #176 regarding city services,1,68.3,17,True
177,2023-11-28,Parks & Recreation,Medium,Resolved,Sample feedback report #177 regarding city services,1,17.7,8,False
178,2023-06-24,Waste Management,Medium,Under Review,Sample feedback report #178 regarding city services,1,18.1,3,True
179,2023-03-16,Community Services,Medium,In Progress,Sample feedback report #179 regarding city services,2,31.8,11,False
180,2023-01-27,Parks & Recreation,Medium,Resolved,Sample feedback report #180 regarding city services,5,19.5,8,True
181,2023-09-16,Public Transport,Low,Under Review,Sample feedback report #181 regarding city services,2,10.5,18,False
182,2023-11-02,Public Transport,High,Resolved,Sample feedback report #182 regarding city services,4,1.9,4,False
183,2023-10-31,Water Infrastructure,Low,Resolved,Sample feedback report #183 regarding city services,5,31.0,9,False
184,2023-09-29,Public Safety,Medium,Submitted,Sample feedback report #184 regarding city services,4,28.6,14,False
185,2023-03-25,Environmental Issues,Low,Closed,Sample feedback report #185 regarding city services,3,13.8,2,True
186,2023-07-03,Community Services,Medium,Resolved,Sample feedback report #186 regarding city services,1,5.2,15,True
187,2023-11-24,Environmental Issues,Low,Closed,Sample feedback report #187 regarding city services,4,4.5,1,False
188,2023-10-27,Public Transport,High,Resolved,Sample feedback report #188 regarding city services,2,54.8,18,False
189,2023-09-29,Public Transport,High,Resolved,Sample feedback report #189 regarding city services,2,22.8,10,False
190,2023-08-14,Public Safety,Medium,Resolved,Sample feedback report #190 regarding city services,3,26.8,12,False
191,2023-11-09,Traffic Management,Medium,Resolved,Sample feedback report #191 regarding city services,2,1.0,9,False
192,2023-08-30,Road Maintenance,Medium,Under Review,Sample feedback report #192 regarding city services,1,10.6,20,False
193,2023-04-29,Road Maintenance,Low,In Progress,Sample feedback report #193 regarding city services,5,1.4,17,True
194,2023-03-08,Community Services,Low,Resolved,Sample feedback report #194 regarding city services,4,11.4,11,True
195,2023-03-29,Environmental Issues,Low,Resolved,Sample feedback report #195 regarding city services,4,15.0,6,False
196,2023-07-21,Environmental Issues,High,In Progress,Sample feedback report #196 regarding city services,3,1.0,8,False
197,2023-12-04,Public Safety,High,In Progress,Sample feedback report #197 regarding city services,2,29.7,19,False
198,2023-03-11,Public Transport,Medium,Closed,Sample feedback report #198 regarding city services,5,5.5,16,True
199,2023-03-05,Public Transport,Medium,Resolved,Sample feedback report #199 regarding city services,5,21.8,20,False
200,2023-10-18,Water Infrastructure,Medium,Resolved,Sample feedback report #200 regarding city services,2,6.7,6,False
201,2023-07-21,Water Infrastructure,High,Under Review,Sample feedback report #201 regarding city services,1,54.5,7,False
202,2023-07-07,Parks & Recreation,Medium,In Progress,Sample feedback report #202 regarding city services,1,7.5,14,True
203,2023-07-14,Environmental Issues,Critical,Resolved,Sample feedback report #203 regarding city services,5,14.1,13,True
204,2023-11-28,Road Maintenance,Medium,Submitted,Sample feedback report #204 regarding city services,4,33.4,10,False
205,2023-06-10,Energy & Utilities,Medium,Resolved,Sample feedback report #205 regarding city services,4,16.8,2,False
206,2023-05-25,Community Services,Low,Resolved,Sample feedback report #206 regarding city services,3,11.5,15,False
207,2023-05-10,Public Safety,Low,In Progress,Sample feedback report #207 regarding city services,1,20.2,2,False
208,2023-05-18,Public Safety,Medium,Resolved,Sample feedback report #208 regarding city services,2,5.7,18,False
209,2023-02-26,Traffic Management,Medium,Closed,Sample feedback report #209 regarding city services,2,8.9,3,False
210,2023-07-21,Community Services,Medium,Under Review,Sample feedback report #210 regarding city services,4,62.7,3,False
211,2023-04-22,Waste Management,Medium,In Progress,Sample feedback report #211 regarding city services,3,51.7,13,False
212,2023-07-04,Parks & Recreation,Critical,Resolved,Sample feedback report #212 regarding city services,4,7.0,12,True
213,2023-10-25,Water Infrastructure,High,Under Review,Sample feedback report #213 regarding city services,4,54.6,18,False
214,2023-02-18,Public Safety,High,Resolved,Sample feedback report #214 regarding city services,3,7.6,3,True
215,2023-09-21,Public Transport,Low,Resolved,Sample feedback report #215 regarding city services,3,1.0,4,False
216,2023-12-16,Road Maintenance,Low,In Progress,Sample feedback report #216 regarding city services,2,14.2,20,False
217,2023-10-13,Traffic Management,Medium,Under Review,Sample feedback report #217 regarding city services,2,23.0,9,True
218,2023-12-03,Environmental Issues,High,Resolved,Sample feedback report #218 regarding city services,3,8.6,14,False
219,2023-06-01,Public Safety,Medium,In Progress,Sample feedback report #219 regarding city services,5,63.8,9,False
220,2023-12-03,Public Safety,Low,Resolved,Sample feedback report #220 regarding city services,2,8.1,16,False
221,2023-01-27,Parks & Recreation,Medium,Under Review,Sample feedback report #221 regarding city services,3,28.7,1,False
222,2023-06-25,Parks & Recreation,High,In Progress,Sample feedback report #222 regarding city services,3,2.8,11,False
223,2023-07-16,Waste Management,High,Submitted,Sample feedback report #223 regarding city services,4,1.0,8,True
224,2023-01-17,Traffic Management,Low,Closed,Sample feedback report #224 regarding city services,3,12.3,19,False
225,2023-04-17,Environmental Issues,Low,Resolved,Sample feedback report #225 regarding city services,3,12.0,8,False
226,2023-07-25,Road Maintenance,Low,Under Review,Sample feedback report #226 regarding city services,2,10.8,13,False
227,2023-04-05,Traffic Management,Medium,Under Review,Sample feedback report #227 regarding city services,2,18.6,15,False
228,2023-09-27,Energy & Utilities,High,Under Review,Sample feedback report #228 regarding city services,1,14.6,4,False
229,2023-03-08,Public Safety,High,Resolved,Sample feedback report #229 regarding city services,1,25.5,11,True
230,2023-03-21,Public Transport,Low,In Progress,Sample feedback report #230 regarding city services,1,1.6,6,True
231,2023-01-11,Energy & Utilities,Medium,In Progress,Sample feedback report #231 regarding city services,2,2.4,1,False
232,2023-01-30,Road Maintenance,Low,In Progress,Sample feedback report #232 regarding city services,4,24.7,14,False
233,2023-02-19,Traffic Management,Low,Under Review,Sample feedback report #233 regarding city services,4,9.4,16,False
234,2023-03-22,Public Transport,High,Under Review,Sample feedback report #234 regarding city services,4,65.6,3,False
235,2023-01-02,Public Safety,Low,Resolved,Sample feedback report #235 regarding city services,1,7.8,6,False
236,2023-08-14,Public Transport,Low,Resolved,Sample feedback report #236 regarding city services,1,9.0,12,False
237,2023-10-28,Waste Management,High,Resolved,Sample feedback report #237 regarding city services,2,11.5,1,True
238,2023-08-28,Environmental Issues,High,Resolved,Sample feedback report #238 regarding city services,5,40.3,4,True
239,2023-07-16,Public Transport,Low,In Progress,Sample feedback report #239 regarding city services,4,8.5,1,True
240,2023-02-06,Public Safety,Medium,Closed,Sample feedback report #240 regarding city services,5,15.8,15,False
241,2023-01-13,Road Maintenance,Low,In Progress,Sample feedback report #241 regarding city services,3,30.7,10,True
242,2023-07-05,Water Infrastructure,Medium,In Progress,Sample feedback report #242 regarding city services,4,3.6,5,True
243,2023-10-27,Public Safety,High,Under Review,Sample feedback report #243 regarding city services,4,21.3,16,True
244,2023-01-04,Parks & Recreation,Critical,Resolved,Sample feedback report #244 regarding city services,5,49.8,6,False
245,2023-07-17,Parks & Recreation,Medium,Closed,Sample feedback report #245 regarding city services,4,1.0,9,False
246,2023-12-06,Water Infrastructure,High,Under Review,Sample feedback report #246 regarding city services,1,4.8,14,True
247,2023-12-15,Traffic Management,Low,Resolved,Sample feedback report #247 regarding city services,5,10.1,19,False
248,2023-05-22,Energy & Utilities,Medium,Resolved,Sample feedback report #248 regarding city services,2,27.4,9,True
249,2023-12-28,Community Services,Low,Resolved,Sample feedback report #249 regarding city services,4,5.2,17,False
250,2023-11-23,Water Infrastructure,Low,Closed,Sample feedback report #250 regarding city services,4,1.0,4,True
251,2023-12-24,Public Safety,Low,Under Review,Sample feedback report #251 regarding city services,5,23.2,6,False
252,2023-02-14,Public Safety,Low,Under Review,Sample feedback report #252 regarding city services,5,50.8,10,True
253,2023-06-02,Waste Management,High,Submitted,Sample feedback report #253 regarding city services,1,7.1,18,False
254,2023-12-06,Environmental Issues,Low,Resolved,Sample feedback report #254 regarding city services,3,7.7,13,True
255,2023-02-23,Traffic Management,Medium,In Progress,Sample feedback report #255 regarding city services,4,60.9,7,True
256,2023-11-05,Water Infrastructure,Low,Closed,Sample feedback report #256 regarding city services,2,34.2,2,True
257,2023-08-08,Environmental Issues,Medium,Resolved,Sample feedback report #257 regarding city services,2,5.1,12,False
258,2023-08-03,Water Infrastructure,Medium,Under Review,Sample feedback report #258 regarding city services,3,6.5,16,True
259,2023-01-16,Parks & Recreation,Medium,Resolved,Sample feedback report #259 regarding city services,5,8.3,5,False
260,2023-01-06,Parks & Recreation,Low,Resolved,Sample feedback report #260 regarding city services,5,6.6,17,False
261,2023-03-27,Public Transport,Low,Resolved,Sample feedback report #261 regarding city services,3,1.8,18,False
262,2023-08-12,Public Transport,Medium,Resolved,Sample feedback report #262 regarding city services,5,33.4,4,True
263,2023-11-07,Waste Management,Medium,Submitted,Sample feedback report #263 regarding city services,5,5.2,15,False
264,2023-07-21,Waste Management,High,Resolved,Sample feedback report #264 regarding city services,1,11.9,14,False
265,2023-03-02,Environmental Issues,High,Closed,Sample feedback report #265 regarding city services,2,28.6,8,False
266,2023-08-05,Public Safety,Medium,Resolved,Sample feedback report #266 regarding city services,3,7.0,5,True
267,2023-10-17,Public Transport,Medium,Resolved,Sample feedback report #267 regarding city services,1,41.5,4,False
268,2023-03-11,Traffic Management,Low,In Progress,Sample feedback report #268 regarding city services,1,19.8,4,False
269,2023-03-30,Public Transport,Medium,Closed,Sample feedback report #269 regarding city services,3,7.1,4,False
270,2023-02-07,Environmental Issues,Medium,Resolved,Sample feedback report #270 regarding city services,1,31.0,10,False
271,2023-12-14,Water Infrastructure,Low,Resolved,Sample feedback report #271 regarding city services,2,7.9,9,False
272,2023-12-21,Traffic Management,Low,Submitted,Sample feedback report #272 regarding city services,3,7.5,19,True
273,2023-02-17,Traffic Management,High,Under Review,Sample feedback report #273 regarding city services,3,24.7,11,False
274,2023-01-10,Energy & Utilities,Critical,Resolved,Sample feedback report #274 regarding city services,5,3.7,18,False
275,2023-02-22,Traffic Management,High,In Progress,Sample feedback report #275 regarding city services,3,9.5,19,False
276,2023-10-10,Waste Management,Medium,Resolved,Sample feedback report #276 regarding city services,5,1.1,8,False
